"date","n_cran","group","term","pattern","package","verdict"
"2026-08-09",24734,"method","Ottawa method","ottawa","SAiVE","false positive: the University of Ottawa, not the Ottawa method"
"2026-08-09",24734,"method","Ottawa method","ottawa","themis","false positive: class imbalance, unrelated"
"2026-08-09",24734,"method","Barrowman","barrowman",NA,"no hit"
"2026-08-09",24734,"method","recursive cumulative MA","recursive cumulative",NA,"no hit"
"2026-08-09",24734,"method","Shojania","shojania",NA,"no hit"
"2026-08-09",24734,"method","Pattanittum","pattanittum",NA,"no hit"
"2026-08-09",24734,"problem","out-of-date review","out[- ]of[- ]date","updateme","false positive: warns about out-of-date R PACKAGES, not reviews"
"2026-08-09",24734,"problem","out-of-date review","out[- ]of[- ]date","VegSpecIndex","false positive: spectral indices for vegetation"
"2026-08-09",24734,"problem","updating a review","updat\w* (a |the )?(systematic )?(review|meta-?analys)","CRTSize","false positive: 'updated techniques' for cluster-trial sample size"
"2026-08-09",24734,"problem","updating a review","updat\w* (a |the )?(systematic )?(review|meta-?analys)","metagear","adjacent: screens abstracts for systematic reviews; does not assess whether a completed review is out of date"
"2026-08-09",24734,"problem","currency / staleness","\bstaleness\b|currency of (the )?evidence",NA,"no hit"
"2026-08-09",24734,"problem","when to update","when to update",NA,"no hit"
"2026-08-09",24734,"component","fail-safe N","fail[- ]safe","fsn","component: Rosenthal's fail-safe N, one half of sufficiency()"
"2026-08-09",24734,"component","cumulative meta-analysis","cumulative meta-?analys","meta","component: general meta-analysis, computes cumulative meta-analyses"
"2026-08-09",24734,"component","trial sequential analysis","trial sequential","RTSA","component: trial sequential analysis, a different sequential question"
